kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_sampah,satuan,tahun
32,JAWA BARAT,3204,KABUPATEN BANDUNG,1200,ton/hari,2015
32,JAWA BARAT,3201,KABUPATEN BOGOR,1500,ton/hari,2015
32,JAWA BARAT,3273,KOTA BANDUNG,1800,ton/hari,2015
32,JAWA BARAT,3275,KOTA BEKASI,1700,ton/hari,2015
32,JAWA BARAT,3276,KOTA DEPOK,900,ton/hari,2015
32,JAWA BARAT,3204,KABUPATEN BANDUNG,1300,ton/hari,2016
32,JAWA BARAT,3201,KABUPATEN BOGOR,1600,ton/hari,2016
32,JAWA BARAT,3273,KOTA BANDUNG,1850,ton/hari,2016
32,JAWA BARAT,3275,KOTA BEKASI,1750,ton/hari,2016
32,JAWA BARAT,3276,KOTA DEPOK,950,ton/hari,2016
32,JAWA BARAT,3204,KABUPATEN BANDUNG,1400,ton/hari,2017
32,JAWA BARAT,3201,KABUPATEN BOGOR,1700,ton/hari,2017
32,JAWA BARAT,3273,KOTA BANDUNG,1900,ton/hari,2017
32,JAWA BARAT,3275,KOTA BEKASI,1800,ton/hari,2017
32,JAWA BARAT,3276,KOTA DEPOK,980,ton/hari,2017
32,JAWA BARAT,3204,KABUPATEN BANDUNG,1500,ton/hari,2018
32,JAWA BARAT,3201,KABUPATEN BOGOR,1750,ton/hari,2018
32,JAWA BARAT,3273,KOTA BANDUNG,2000,ton/hari,2018
32,JAWA BARAT,3275,KOTA BEKASI,1900,ton/hari,2018
32,JAWA BARAT,3276,KOTA DEPOK,1000,ton/hari,2018
32,JAWA BARAT,3204,KABUPATEN BANDUNG,1600,ton/hari,2019
32,JAWA BARAT,3201,KABUPATEN BOGOR,1850,ton/hari,2019
32,JAWA BARAT,3273,KOTA BANDUNG,2100,ton/hari,2019
32,JAWA BARAT,3275,KOTA BEKASI,1950,ton/hari,2019
32,JAWA BARAT,3276,KOTA DEPOK,1100,ton/hari,2019
32,JAWA BARAT,3204,KABUPATEN BANDUNG,1650,ton/hari,2020
32,JAWA BARAT,3201,KABUPATEN BOGOR,1900,ton/hari,2020
32,JAWA BARAT,3273,KOTA BANDUNG,2200,ton/hari,2020
32,JAWA BARAT,3275,KOTA BEKASI,2050,ton/hari,2020
32,JAWA BARAT,3276,KOTA DEPOK,1150,ton/hari,2020
32,JAWA BARAT,3204,KABUPATEN BANDUNG,1700,ton/hari,2021
32,JAWA BARAT,3201,KABUPATEN BOGOR,2000,ton/hari,2021
32,JAWA BARAT,3273,KOTA BANDUNG,2350,ton/hari,2021
32,JAWA BARAT,3275,KOTA BEKASI,2150,ton/hari,2021
32,JAWA BARAT,3276,KOTA DEPOK,1200,ton/hari,2021
32,JAWA BARAT,3204,KABUPATEN BANDUNG,1750,ton/hari,2022
32,JAWA BARAT,3201,KABUPATEN BOGOR,2100,ton/hari,2022
32,JAWA BARAT,3273,KOTA BANDUNG,2400,ton/hari,2022
32,JAWA BARAT,3275,KOTA BEKASI,2250,ton/hari,2022
32,JAWA BARAT,3276,KOTA DEPOK,1250,ton/hari,2022
32,JAWA BARAT,3204,KABUPATEN BANDUNG,1800,ton/hari,2023
32,JAWA BARAT,3201,KABUPATEN BOGOR,2200,ton/hari,2023
32,JAWA BARAT,3273,KOTA BANDUNG,2500,ton/hari,2023
32,JAWA BARAT,3275,KOTA BEKASI,2300,ton/hari,2023
32,JAWA BARAT,3276,KOTA DEPOK,1300,ton/hari,2023
