kab_kota,tahun,total_sampah
KABUPATEN BANDUNG,2015,1200
KABUPATEN BOGOR,2015,1500
KOTA BANDUNG,2015,1800
KOTA BEKASI,2015,1700
KOTA DEPOK,2015,900
KABUPATEN BANDUNG,2016,1300
KABUPATEN BOGOR,2016,1600
KOTA BANDUNG,2016,1850
KOTA BEKASI,2016,1750
KOTA DEPOK,2016,950
KABUPATEN BANDUNG,2017,1400
KABUPATEN BOGOR,2017,1700
KOTA BANDUNG,2017,1900
KOTA BEKASI,2017,1800
KOTA DEPOK,2017,980
KABUPATEN BANDUNG,2018,1500
KABUPATEN BOGOR,2018,1750
KOTA BANDUNG,2018,2000
KOTA BEKASI,2018,1900
KOTA DEPOK,2018,1000
KABUPATEN BANDUNG,2019,1600
KABUPATEN BOGOR,2019,1850
KOTA BANDUNG,2019,2100
KOTA BEKASI,2019,1950
KOTA DEPOK,2019,1100
KABUPATEN BANDUNG,2020,1650
KABUPATEN BOGOR,2020,1900
KOTA BANDUNG,2020,2200
KOTA BEKASI,2020,2050
KOTA DEPOK,2020,1150
KABUPATEN BANDUNG,2021,1700
KABUPATEN BOGOR,2021,2000
KOTA BANDUNG,2021,2350
KOTA BEKASI,2021,2150
KOTA DEPOK,2021,1200
KABUPATEN BANDUNG,2022,1750
KABUPATEN BOGOR,2022,2100
KOTA BANDUNG,2022,2400
KOTA BEKASI,2022,2250
KOTA DEPOK,2022,1250
KABUPATEN BANDUNG,2023,1800
KABUPATEN BOGOR,2023,2200
KOTA BANDUNG,2023,2500
KOTA BEKASI,2023,2300
KOTA DEPOK,2023,1300
